"distribution","shape1","shape2","skewness","kurtosis","m.star.sample","kurtosis.sample","skewness.sample","A","B","m.star","r2","alpha.100","alpha.1000","alpha.10000","alpha.100000","alpha.1000000"
"betaprime",11.6810449561011,121.858314800495,0.6752,3.7406,0.1066,3.7567,0.6784,0.1896,2.9852,0.105975444262464,0.999976,3.8543,4.2969,4.7346,5.1689,5.6007
"betaprime",11.880277655907,82.0251635893364,0.7141,3.8516,0.1136,3.8265,0.7071,0.2046,3.0555,0.11209337383286,0.999998,3.9965,4.4698,4.9409,5.4111,5.8814
"betaprime",8.74584192759357,137.396524391707,0.7479,3.8903,0.1181,3.8745,0.7441,0.1998,3.0924,0.118018664146424,0.99998,4.0087,4.4746,4.9358,5.3937,5.8492
"betaprime",11.7756507324614,67.2863443614915,0.7448,3.9402,0.1156,3.9235,0.739,0.216,3.109,0.116918356743539,0.999998,4.1045,4.6011,5.0974,5.5948,6.0944
"betaprime",10.1543562682997,70.4352832984296,0.7745,4.0037,0.1237,4.014,0.7759,0.2197,3.1521,0.121830513363868,0.999998,4.1648,4.6701,5.1751,5.6811,6.1892
"betaprime",15.4424263250269,45.3024423995521,0.7701,4.0564,0.1229,4.0522,0.7693,0.238,3.1643,0.120402545664399,0.999952,4.2663,4.8056,5.3498,5.9004,6.4588
"betaprime",8.42959274210036,84.4062004566193,0.8037,4.0556,0.1276,4.045,0.8011,0.2195,3.1909,0.126889178641629,1,4.2013,4.7079,5.213,5.7179,6.2236
"betaprime",9.20431810813956,66.8871786799864,0.8086,4.0916,0.1268,4.0792,0.806,0.2276,3.206,0.127367059363867,0.999995,4.2559,4.7781,5.3008,5.8255,6.353
"betaprime",14.4397490188479,41.56354582489,0.8038,4.1547,0.1253,4.1682,0.8066,0.2495,3.2184,0.125626862954594,0.999923,4.3756,4.9382,5.5079,6.086,6.6741
"betaprime",7.17470351105556,95.648559621349,0.8424,4.1416,0.135,4.1537,0.8465,0.2232,3.2477,0.133543992932248,0.999999,4.2747,4.7905,5.3044,5.8176,6.3311
