"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"normal",NA,NA,0,3,-6e-04,1.7239,1.7239,2.4652,2.4652,3.2065,3.2065
"student",132.38680535052,NA,0,3.0467,0.0012,1.7604,1.7604,2.5548,2.5548,3.3858,3.3858
"student",66.311234934628,NA,0,3.0963,-0.0022,1.7981,1.7981,2.6492,2.6492,3.5804,3.5804
"student",45.797295708023,NA,0,3.1435,-8e-04,1.833,1.833,2.7386,2.7386,3.7697,3.7697
"student",34.1782799213193,NA,0,3.1988,5e-04,1.8726,1.8726,2.8423,2.8423,3.9954,3.9954
"student",28.95049142465,NA,0,3.2405,-3e-04,1.9017,1.9017,2.9197,2.9197,4.1682,4.1682
"student",24.3654677432962,NA,0,3.2946,-0.0015,1.9384,1.9384,3.0194,3.0194,4.3957,4.3957
"student",21.0990064295009,NA,0,3.3509,-4e-04,1.9753,1.9753,3.1217,3.1217,4.6353,4.6353
"student",18.8050238829249,NA,0,3.4053,1e-04,2.0099,2.0099,3.2193,3.2193,4.8692,4.8692
"student",17.0847933490062,NA,0,3.4585,8e-04,2.0428,2.0428,3.3135,3.3135,5.1003,5.1003
"student",16.240176575142,NA,0,3.4902,8e-04,2.0619,2.0619,3.3689,3.3689,5.2383,5.2383
"student",14.8817321089142,NA,0,3.5514,-1e-04,2.0978,2.0978,3.4746,3.4746,5.5063,5.5063
"student",13.9036364562809,NA,0,3.6058,-0.0011,2.1287,2.1287,3.5671,3.5671,5.7458,5.7458
"student",13.1268977998295,NA,0,3.6574,3e-04,2.1571,2.1571,3.6533,3.6533,5.973,5.973
"student",12.6951803392495,NA,0,3.69,8e-04,2.1747,2.1747,3.7072,3.7072,6.117,6.117
"student",12.0703374983743,NA,0,3.7435,7e-04,2.2028,2.2028,3.7942,3.7942,6.3527,6.3527
"student",11.4303826005137,NA,0,3.8075,0.0012,2.2355,2.2355,3.8967,3.8967,6.635,6.635
"student",10.9938089856376,NA,0,3.8579,-0.0011,2.2604,2.2604,3.9758,3.9758,6.8567,6.8567
"student",10.7248771215413,NA,0,3.8922,-7e-04,2.277,2.277,4.029,4.029,7.0073,7.0073
"student",10.3131953911856,NA,0,3.9504,-4e-04,2.3044,2.3044,4.1177,4.1177,7.2619,7.2619
"student",10.042235297279,NA,0,3.993,0.0015,2.324,2.324,4.1817,4.1817,7.4476,7.4476
"student",9.74623694807752,NA,0,4.0442,5e-04,2.3469,2.3469,4.2573,4.2573,7.6697,7.6697
"student",9.49066548298569,NA,0,4.0928,0.0013,2.3681,2.3681,4.3279,4.3279,7.8795,7.8795
"student",9.19923920581792,NA,0,4.154,-5e-04,2.3941,2.3941,4.4153,4.4153,8.1424,8.1424
"student",9.03447681706865,NA,0,4.1918,-0.0021,2.4098,2.4098,4.4682,4.4682,8.3035,8.3035
"student",8.79988294136236,NA,0,4.25,2e-04,2.4333,2.4333,4.5486,4.5486,8.5505,8.5505
