"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"student",5.7697754455453,NA,0,6.3903,3e-04,2.9868,2.9868,6.6444,6.6444,15.9527,15.9527
"student",7.06850501909223,NA,0,4.9553,-0.0021,2.6723,2.6723,5.4054,5.4054,11.3592,11.3592
"student",132.38680535052,NA,0,3.0467,0.0012,1.7604,1.7604,2.5548,2.5548,3.3858,3.3858
"student",7.51368120128289,NA,0,4.7076,-2e-04,2.597,2.597,5.1275,5.1275,10.4137,10.4137
"student",5.38024799456624,NA,0,7.347,-3e-04,3.1243,3.1243,7.2245,7.2245,18.3027,18.3027
"student",6.80140939299017,NA,0,5.1418,-2e-04,2.7238,2.7238,5.5999,5.5999,12.0401,12.0401
"student",12.6951803392495,NA,0,3.69,8e-04,2.1747,2.1747,3.7072,3.7072,6.117,6.117
"student",5.46617856070399,NA,0,7.0923,3e-04,3.0915,3.0915,7.0842,7.0842,17.7234,17.7234
"student",6.02991035290598,NA,0,5.9558,4e-04,2.9087,2.9087,6.3251,6.3251,14.7119,14.7119
"student",6.35472175980865,NA,0,5.5481,0.0013,2.8234,2.8234,5.985,5.985,13.4333,13.4333
"student",5.2369570590978,NA,0,7.8506,-0.0023,3.1823,3.1823,7.4763,7.4763,19.361,19.361
"student",5.4095662480233,NA,0,7.2566,-5e-04,3.1129,3.1129,7.1757,7.1757,18.1007,18.1007
"student",9.74623694807752,NA,0,4.0442,5e-04,2.3469,2.3469,4.2573,4.2573,7.6697,7.6697
"student",5.13378707735268,NA,0,8.292,4e-04,3.2271,3.2271,7.6732,7.6732,20.2036,20.2036
"student",6.22097731959908,NA,0,5.7015,7e-04,2.857,2.857,6.118,6.118,13.9281,13.9281
"student",5.62519271124818,NA,0,6.6919,-0.0021,3.0347,3.0347,6.8438,6.8438,16.7467,16.7467
"student",21.0990064295009,NA,0,3.3509,-4e-04,1.9753,1.9753,3.1217,3.1217,4.6353,4.6353
"student",5.63994393707437,NA,0,6.6587,-7e-04,3.0297,3.0297,6.8227,6.8227,16.6618,16.6618
"student",5.5178765617155,NA,0,6.9529,6e-04,3.0726,3.0726,7.0035,7.0035,17.3929,17.3929
"student",5.1026899991557,NA,0,8.4412,0.0011,3.2411,3.2411,7.7353,7.7353,20.4723,20.4723
"student",7.22721571839163,NA,0,4.8592,-7e-04,2.644,2.644,5.3002,5.3002,10.9977,10.9977
"student",5.34633663173877,NA,0,7.4565,0.0013,3.1376,3.1376,7.2819,7.2819,18.5423,18.5423
"student",5.20157199598756,NA,0,7.9935,9e-04,3.1974,3.1974,7.5423,7.5423,19.6419,19.6419
"student",5.02682939097215,NA,0,8.8432,6e-04,3.2763,3.2763,7.8926,7.8926,21.1586,21.1586
"student",5.21347935128992,NA,0,7.9445,6e-04,3.1923,3.1923,7.5199,7.5199,19.5464,19.5464
"student",6.73283076470383,NA,0,5.1955,0,2.738,2.738,5.6538,5.6538,12.2315,12.2315
"student",5.17470058466911,NA,0,8.1077,0.0019,3.209,3.209,7.5935,7.5935,19.8607,19.8607
"student",7.65419431629125,NA,0,4.6419,-9e-04,2.5756,2.5756,5.0498,5.0498,10.1553,10.1553
"student",5.4307529036148,NA,0,7.1936,-5e-04,3.1049,3.1049,7.1411,7.1411,17.9575,17.9575
"student",7.44702844608377,NA,0,4.7406,-5e-04,2.6075,2.6075,5.1659,5.1659,10.5424,10.5424
"student",5.71863233537772,NA,0,6.4911,-6e-04,3.0034,3.0034,6.713,6.713,16.2242,16.2242
"student",5.14229921802175,NA,0,8.2526,0.0011,3.2233,3.2233,7.6564,7.6564,20.1313,20.1313
"student",6.85494966059923,NA,0,5.1016,-9e-04,2.7131,2.7131,5.559,5.559,11.8956,11.8956
"student",7.15842856210903,NA,0,4.8997,-0.0018,2.6561,2.6561,5.3449,5.3449,11.1508,11.1508
"student",10.042235297279,NA,0,3.993,0.0015,2.324,2.324,4.1817,4.1817,7.4476,7.4476
"student",8.2589761699175,NA,0,4.4088,1e-04,2.4942,2.4942,4.7598,4.7598,9.213,9.213
"student",5.39493531668568,NA,0,7.3013,-0.0013,3.1186,3.1186,7.1999,7.1999,18.2009,18.2009
"student",5.26106043475499,NA,0,7.7579,0.0011,3.1723,3.1723,7.4323,7.4323,19.1743,19.1743
"student",5.33409246805217,NA,0,7.4974,4e-04,3.1425,3.1425,7.303,7.303,18.6304,18.6304
"student",7.00841346097393,NA,0,4.9944,6e-04,2.6834,2.6834,5.4471,5.4471,11.5041,11.5041
"student",5.44368412986398,NA,0,7.156,5e-04,3.1,3.1,7.1202,7.1202,17.8713,17.8713
