stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
AG000060590,689.6667,61.6667,55.3333,53.3333,125,0,53.3333,-1.6181,0.0801,-1.9834,-3.0506,-196.2209,-6.1648,11.4863,24.4592,12.5881,6.34,201.155,11.0989
AGE00135039,4205.6667,339.3333,483.3333,284,481.3333,0,216.6667,-5.1879,-1.679,-5.9669,-9.1881,-164.1684,-14.5505,19.0517,38.1964,20.9863,12.7289,170.2899,20.672
AGE00147708,6044,393,582,296,516.3333,0,212.6667,-9.101,-3.9776,-10.3304,-14.1607,-149.772,-21.1143,23.8174,42.4597,26.2733,17.9209,156.2712,27.6136
AGE00147716,4057,267.3333,361.3333,211.6667,454.3333,0,180,-5.8192,-1.7799,-6.7174,-9.4186,-160.6423,-15.6741,20.6256,40.2123,22.688,13.8263,167.6497,22.6815
AGE00147718,1827.3333,129.3333,159,110,241,1,105,-3.7711,-0.6629,-4.402,-6.1386,-132.722,-10.8522,16.0609,36.5008,17.6503,9.8665,138.5904,16.7206
AGE00147719,1264.6667,63.6667,75.6667,51.3333,131.6667,0,52,-3.7926,-0.7389,-4.4463,-6.0902,-82.7834,-9.961,15.1646,30.4018,16.6332,10.182,88.6952,15.8728
AJ000037735,7752,613.6667,916.3333,506.6667,1014.3333,0,408.3333,-2.5051,-0.8477,-2.8559,-4.3393,-98.7096,-7.3507,9.017,19.8056,9.9561,5.5952,101.2795,9.9206
AJ000037850,7668.3333,707.3333,1056.3333,583.6667,1075.6667,0,457.3333,-2.0971,-0.7054,-2.3873,-3.8115,-111.6991,-6.5027,8.0781,18.8157,8.9269,4.8026,113.9377,8.7413
AJ000037985,11374,1353.6667,1862.6667,1128.3333,1547.6667,0,786,-8.5107,-3.9313,-9.5007,-13.5657,-435.9772,-20.9327,21.3154,45.9705,23.6645,14.2308,439.6772,24.6327
AM000037711,4266,379,522.6667,315.3333,462.6667,0,232,-5.5289,-2.5952,-6.2382,-8.4233,-103.4376,-12.1311,13.3278,23.644,14.7296,10.0356,106.5965,15.29
AM000037789,10222.6667,687,999.3333,540,1136.6667,0,423.3333,-3.0875,-1.1643,-3.5093,-5.0494,-90.3431,-8.2933,9.5635,19.4478,10.558,6.4099,92.9825,10.9327
AM000037801,11784.6667,835,1252,681.3333,1199.6667,0,510.3333,-3.8887,-1.5516,-4.4181,-6.3221,-93.2193,-10.1086,11.3677,21.9979,12.5461,8.0036,96.3502,13.2395
AM000037959,5033.6667,352.6667,554,284.6667,521,0,226.6667,-5.2567,-2.0654,-5.9578,-8.6803,-129.9818,-13.2076,15.5355,31.5088,17.1621,10.692,134.0603,17.2861
ASN00001005,4852,403.3333,639.3333,310.3333,534.3333,0,230,-11.4062,-4.7074,-12.8744,-19.783,-297.4621,-29.7689,35.0566,73.7037,38.7899,23.2014,305.9386,38.2454
ASN00002001,4566.6667,295.3333,427.3333,228.6667,419.3333,0,175,-11.8984,-4.6735,-13.6214,-19.4693,-220.4114,-29.3151,35.9965,64.3923,39.6354,26.4527,231.6735,40.5772
ASN00002005,4332,247,397.6667,186.6667,357.3333,1,130.6667,-15.3243,-6.0342,-17.5603,-24.6542,-258.5958,-36.9825,45.4713,79.6456,50.0414,33.9523,273.1062,51.4928
ASN00002011,3534.6667,386.3333,506.6667,320.3333,453,0,225,-7.5667,-3.1659,-8.569,-13.0674,-295.3792,-19.5406,23.8415,47.6513,26.3554,15.8409,301.528,25.6894
