stations,n,kim,hub,sch,ley,logbox,l.kim,l.hub,l.sch,l.ley,l.logbox,u.kim,u.hub,u.sch,u.ley,u.logbox
AG000060590,25343.3333,481.6667,506,277.6667,278.6667,0,-5.0968,-4.9921,-5.6651,-5.7094,-11.8882,5.1422,5.2088,5.7202,5.6681,11.8686
AGE00135039,22844.3333,561,576.6667,347,362.3333,0.3333,-3.5358,-3.2193,-3.9244,-4.0451,-10.0371,3.6396,3.9014,4.0543,3.9151,9.9655
AGE00147708,16932.3333,399,409,240,243.6667,0,-4.9034,-4.7339,-5.4479,-5.5348,-12.6516,4.9747,5.0982,5.536,5.4558,12.6102
AGE00147716,20872,566.6667,585.6667,374.3333,386,0,-3.2406,-3.0201,-3.5974,-3.6859,-8.435,3.3009,3.4781,3.6764,3.5804,8.371
AGE00147718,19579.6667,420.3333,423.3333,227.3333,226.3333,0,-4.574,-4.4816,-5.0841,-5.1242,-10.9518,4.6128,4.6797,5.1312,5.0893,10.9352
AGE00147719,11359.3333,227.6667,231.3333,120.3333,117.3333,0,-4.7288,-4.8762,-5.2624,-5.23,-11.8613,4.7528,4.5675,5.2807,5.3059,11.9242
AJ000037735,27236.6667,571.6667,591.6667,317.6667,320.6667,0.3333,-5.3955,-5.5132,-6.0022,-5.8894,-13.4626,5.2491,5.0793,5.834,5.9366,13.4613
AM000037789,31482,671.6667,721,397,405.3333,0,-5.47,-5.7886,-6.0905,-5.8821,-14.8251,5.2525,4.8715,5.8325,6.0258,14.8785
AR000875850,34648.6667,209,269,84.3333,74,0,-7.6419,-7.995,-8.5038,-8.1937,-16.8129,7.2418,6.7837,8.0461,8.3078,16.7984
ASN00004020,37075,612,635.3333,336.6667,351.6667,0,-4.4633,-4.6714,-4.9688,-4.8534,-10.7888,4.3657,4.1061,4.8486,4.9584,10.8431
ASN00009500,27277.6667,608.3333,614,399,409.3333,0,-4.1935,-3.8443,-4.6529,-4.7607,-11.59,4.2077,4.4937,4.6888,4.5814,11.4591
ASN00009510,37750.6667,432,445.3333,190.6667,195,0,-5.8587,-5.6575,-6.5106,-6.5983,-13.7784,5.9458,6.0947,6.6154,6.5268,13.7466
ASN00009518,41206.3333,857.3333,861.6667,567.3333,566.6667,6.6667,-3.5462,-3.5189,-3.9405,-3.9243,-7.4544,3.4718,3.4877,3.8632,3.8761,7.3997
ASN00009534,38330,506,512.6667,252.3333,256.6667,0,-6.0132,-5.8286,-6.6822,-6.7412,-14.2565,6.0558,6.1913,6.7379,6.6681,14.2124
ASN00009581,30293.6667,640,615,355.3333,386.3333,0,-5.842,-5.3259,-6.4826,-6.6152,-16.2581,5.8518,6.2867,6.5204,6.3754,16.0807
