seq.hist,n.points
-33,0.333333333333333
-32,0.333333333333333
-31,1.33333333333333
-30,2
-29,4.33333333333333
-28,12
-27,22.6666666666667
-26,61
-25,115
-24,225.666666666667
-23,437.666666666666
-22,753.333333333336
-21,1363.66666666666
-20,2276.33333333333
-19,3895.00000000004
-18,6491.33333333326
-17,10899.3333333334
-16,17819.0000000001
-15,29184.3333333331
-14,46805.0000000003
-13,74300.0000000003
-12,117495.666666666
-11,184706.666666667
-10,292109.666666667
-9,463473.999999998
-8,736834.999999999
-7,1165785.66666667
-6,1826919
-5,2818078
-4,4246759.33333334
-3,6227804.33333333
-2,8842417.33333333
-1,11990448.3333333
0,14413732
1,12994211
2,9718186.33333333
3,6742722.33333331
4,4476063.33333332
5,2876098
6,1801206.66666667
7,1103963
8,661898.666666664
9,390241.333333332
10,224424.666666667
11,126036.666666666
12,68874.6666666669
13,36750.6666666666
14,18971.3333333334
15,9690.66666666674
16,5059.33333333332
17,2594.66666666667
18,1298
19,696.666666666667
20,367
21,200.666666666667
22,110.666666666666
23,66.3333333333334
24,37.3333333333333
25,30.3333333333333
26,13
27,6.66666666666667
28,5
29,3.33333333333333
30,1.66666666666667
31,1
35,0.333333333333333
38,0.333333333333333
