stations,n,n.samples,kim,hub,sch,ley,logbox
AGE00135039,1000,10,97.3333,114.3333,87.3333,103,2.3333
AGE00135039,1000,20,89.6667,112.6667,77.3333,108,2.3333
AGE00135039,1020,30,92.6667,127,75.3333,124,0.6667
AGE00135039,1000,40,76.6667,112,65.3333,108.3333,1
AGE00135039,1000,50,88.6667,113.6667,73,110,1.3333
AGE00135039,1020,60,95.6667,115.3333,77.6667,118.3333,1.6667
AGE00135039,1050,70,83.3333,115,71,123.6667,0.6667
AGE00135039,1040,80,98.6667,131.3333,81.3333,121.6667,0.3333
AGE00135039,1080,90,87.3333,129,71.6667,125,0.3333
AGE00135039,1000,100,77.6667,116.3333,63.3333,116.3333,0
AGE00147708,1000,10,86.6667,95.3333,71,78,2.3333
AGE00147708,1000,20,83,102,64.3333,77.3333,2.3333
AGE00147708,1020,30,85,108,66.6667,97.3333,1.6667
AGE00147708,1000,40,71.3333,102.6667,56,91.3333,2
AGE00147708,1000,50,67.3333,104.3333,55,85.6667,2
AGE00147708,1020,60,63.3333,87,52.3333,78.3333,0.6667
AGE00147708,1050,70,66.6667,95.3333,55.6667,81,3
AGE00147708,1040,80,65.6667,96.3333,51,81.6667,1
AGE00147708,1080,90,65,98.6667,51.6667,88.3333,1.3333
AGE00147708,1000,100,72,101.3333,53.6667,92.3333,0.6667
AGE00147716,1000,10,93.3333,110,81,103.3333,3.3333
AGE00147716,1000,20,77.3333,100,66.6667,104,3.3333
AGE00147716,1020,30,85.3333,105.3333,72,102.3333,1.3333
AGE00147716,1000,40,78.6667,102.3333,65,114,1
AGE00147716,1000,50,80.6667,106.3333,66,110,2
AGE00147716,1020,60,72,95.6667,56.3333,110.6667,2
AGE00147716,1050,70,80,98.3333,63.6667,120.3333,0.6667
AGE00147716,1040,80,82,100,66.3333,116.6667,2
AGE00147716,1080,90,80.6667,99.6667,66,129.6667,0
AGE00147716,1000,100,72,99.3333,56.3333,103,0
AGE00147718,1000,10,93,105.6667,82.6667,120.6667,3
AGE00147718,1000,20,91.3333,102,79,125,5
AGE00147718,1020,30,85.3333,100,72,138.3333,3.6667
AGE00147718,1000,40,75.3333,93,64.3333,125.6667,4.6667
