"age","CH4"
13,907
126,784
130,762
151,710
184,727
202,696
207,683
258,679
297,676
345,651
382,684
403,681
459,670
478,644
533,670
539,668
554,680
668,667
678,669
736,680
742,643
861,664
869,647
897,648
939,640
946,636
1037,635
1092,633
1132,644
1217,643
1225,629
1248,635
1338,635
1349,650
1431,631
1443,638
1527,632
1551,630
1620,610
1629,623
1677,623
1717,615
1726,623
1774,618
1793,613
1907,613
1951,605
1995,599
2045,604
2104,591
2115,594
2119,609
2208,602
2275,597
2309,595
2321,594
2325,597
2389,593
2414,604
2424,592
2482,579
2515,603
2519,590
2602,592
2624,586
2717,590
2720,580
2724,588
2735,583
2793,580
2800,578
2857,577
2877,577
2998,581
3026,573
3107,576
3139,589
3210,568
3308,581
3360,589
3433,573
3506,570
3517,560
3572,575
3602,596
3614,578
3690,578
3697,581
3773,576
3892,574
3905,578
3965,575
3986,549
3994,568
4079,576
4082,563
4142,570
4173,582
4305,577
4309,568
4325,579
4357,584
4366,570
4440,570
4461,568
4471,582
4474,562
4496,580
4551,560
4589,580
4625,560
4683,563
4701,560
4740,570
4755,563
4823,579
4849,570
4864,573
4868,568
5002,561
5068,563
5112,551
5149,553
5156,558
5221,574
5270,561
5272,564
5337,577
5364,565
5418,570
5458,566
5474,580
5526,581
5550,563
5557,568
5598,591
5643,571
5651,578
5653,570
5657,581
5684,584
5712,586
5834,575
5870,570
5915,584
5989,564
5993,602
6022,592
6029,597
6033,581
6058,597
6116,590
6252,590
6257,577
6264,583
6304,592
6341,577
6346,580
6350,581
6385,587
6404,588
6453,617
6503,602
6542,602
6598,599
6607,601
6610,595
6637,607
6691,604
6708,636
6709,603
6738,608
6817,605
6901,633
6924,607
6961,614
7016,631
7020,610
7105,612
7106,607
7127,623
7209,618
7253,618
7289,602
7310,623
7405,612
7408,602
7430,617
7496,625
7498,610
7523,617
7544,617
7573,623
7616,620
7660,619
7670,623
7688,620
7704,623
7723,618
7762,620
7769,611
7778,612
7823,614
7841,620
7857,598
7871,600
7874,612
7892,589
7913,613
7957,624
7985,660
8012,632
8039,606
8053,626
8066,633
8068,624
8089,651
8108,640
8155,642
8171,641
8202,660
8269,647
8273,649
8331,665
8371,648
8378,660
8435,654
8452,654
8523,662
8549,657
8644,671
8648,659
8708,675
8764,676
8771,658
8832,674
8842,657
8906,648
8961,671
9020,664
9081,671
9085,665
9134,664
9135,665
9149,666
9207,663
9281,675
9305,671
9312,674
9391,676
9460,675
9510,682
9533,685
9587,689
9592,683
9640,693
9700,676
9719,674
9794,670
9801,682
9835,675
9882,685
9962,678
10036,717
10098,698
10192,694
10204,678
10253,682
10274,688
10394,672
10409,661
10478,669
10518,652
10604,671
10612,666
10659,685
10707,681
10812,694
10818,673
10872,679
10925,703
11066,650
11078,633
11124,653
11130,654
11216,665
11325,643
11333,559
11410,469
11610,488
11625,468
11717,477
11798,462
11808,483
11921,462
12033,480
12039,467
12094,479
12338,542
12477,651
12485,627
12605,643
12736,610
12747,646
12884,661
12910,662
13070,670
13079,653
13255,646
13356,628
13418,625
13428,619
13497,613
13625,619
13637,623
13646,630
13771,612
13942,578
13951,597
14010,569
14289,465
14312,476
14535,461
14547,470
14555,469
14711,459
14870,470
14966,476
15203,463
15217,451
15393,452
15545,441
15555,456
15844,441
15865,438
15870,473
16060,419
16213,424
16243,427
16430,405
16604,409
16617,404
16826,408
16833,381
17046,395
17075,389
17316,371
17506,375
17531,366
17543,384
17789,366
17909,377
17923,371
18256,375
18490,371
18508,378
18519,371
18873,373
18890,379
19317,366
19451,358
19479,377
19680,356
19693,351
19963,374
20124,375
20466,384
20469,367
20708,378
20954,365
21218,354
21470,357
21786,357
21986,355
22718,407
22895,385
23130,390
23279,390
23472,390
23747,386
23888,398
24084,375
24299,360
24516,373
24721,389
24927,372
25329,370
25599,365
25824,355
25990,364
26631,396
26918,387
27074,386
27336,396
27504,406
27680,426
27896,382
28136,399
28286,402
28502,414
28764,444
29091,388
29319,368
29701,391
29980,399
30148,392
30618,410
30761,408
30974,392
31198,404
31404,412
31756,427
31793,422
31895,441
32069,457
32163,471
32254,431
32370,452
32415,409
32588,410
32645,405
32768,404
32814,415
32904,432
33026,424
33060,428
33148,440
33202,443
33248,444
33480,461
33688,479
33735,426
33810,415
33857,419
34046,420
34079,430
34185,430
34337,428
34531,447
34578,457
34668,489
34901,519
34904,520
34946,513
35061,514
35181,498
35238,492
35330,427
35489,421
35650,444
35764,426
35841,425
35893,441
36000,440
36104,441
36308,471
36374,469
36522,494
36613,524
36937,534
36988,534
37127,587
37188,536
37200,548
37298,572
37367,563
37406,580
37515,560
37524,557
37559,544
37675,547
37751,539
37849,540
37893,481
38045,526
38237,443
38421,440
38797,455
39020,441
39176,450
39373,444
39591,427
39754,419
39791,419
39808,411
39997,424
40031,422
40052,414
40162,442
40211,448
40219,440
40294,450
40371,429
40425,420
40636,413
40649,419
40804,426
40848,447
40860,422
40951,433
41058,420
41069,434
41110,433
41166,442
41223,457
41257,465
41265,462
41351,465
41370,465
41461,467
41687,458
41927,414
42051,429
42163,416
42296,415
42496,456
42679,446
42839,471
42884,470
43036,486
43119,482
43345,463
43437,437
43590,415
43863,411
44162,431
44403,427
44675,469
44989,462
45234,490
45414,467
45698,487
45877,499
46214,497
46339,514
46549,499
46745,493
46988,440
47188,432
47221,441
47471,425
47668,437
47952,453
48173,414
48678,435
48939,461
49257,464
49488,434
49716,452
49890,492
50192,470
50441,489
50622,493
50921,510
51144,515
51427,544
51621,517
51883,531
52120,527
52349,567
52532,543
52814,529
52989,530
53199,535
53432,513
53689,438
53872,438
54100,437
54403,462
54831,476
55085,514
55288,461
55592,466
55796,534
55807,483
56316,546
56592,550
56790,543
56843,554
57256,542
57536,515
57721,520
57993,561
58158,554
58391,502
58610,523
58880,454
59054,442
59366,435
59590,425
59865,443
60049,426
60341,430
60548,425
60812,412
60848,437
61051,432
61647,431
61957,439
62202,430
62556,444
62819,444
63203,468
63432,484
63767,489
64017,434
64350,440
64654,462
64984,461
65259,457
65615,476
65926,444
66255,461
66489,449
66818,459
67076,453
67432,471
67732,480
68036,451
68279,456
68684,474
68976,460
69360,462
69586,450
69933,490
70171,473
70445,470
70633,475
70866,482
71098,449
71353,431
71611,432
71891,432
72209,457
72529,453
72854,448
73125,452
73433,451
73685,461
73916,469
74157,467
74391,477
74631,461
74885,416
75139,415
75425,424
75712,438
75972,422
76241,466
76529,442
76796,442
77056,472
77317,475
77594,450
77885,463
78150,477
78366,487
78646,497
78911,512
79147,515
79398,515
79626,536
79874,563
80104,535
80322,550
80570,549
80802,548
81076,584
81284,576
81524,595
81741,571
81983,606
82212,617
82418,616
82640,622
82866,629
83067,631
83277,560
83511,515
83739,485
83972,465
84225,464
84461,445
84701,450
84949,443
85205,452
85441,454
85766,429
85946,425
86208,468
86472,429
86726,448
87004,446
87340,480
87614,507
87901,502
88201,508
88509,501
88778,494
89061,494
89322,476
89581,463
90114,445
90400,447
90694,461
90962,437
91238,432
91552,448
91797,447
92063,437
92346,437
92612,442
92892,439
93431,436
93683,442
93941,434
94198,454
94457,436
94701,453
94963,442
95236,435
95488,453
95759,464
96021,486
96298,479
96557,495
96826,501
97085,491
97346,487
97622,505
97884,506
98145,511
98393,512
98666,524
98942,526
99223,526
99492,525
99755,530
100024,530
100329,547
100619,537
100899,547
101169,538
101431,542
101691,511
102022,491
102245,509
102542,472
102843,470
103157,498
103458,515
103787,559
104104,573
104420,581
104724,602
105034,596
105364,572
105699,618
105992,601
106276,595
106548,591
106849,483
107157,445
107480,460
107818,464
108185,475
108577,486
108962,508
109311,495
109649,509
109993,502
110330,505
110670,492
110982,496
111309,473
111649,474
111985,456
112311,455
112633,464
112953,467
113334,451
113596,471
113887,471
114456,473
114729,474
115002,472
115265,501
115536,496
115813,501
116073,495
116338,504
116599,528
116842,544
117095,533
117340,546
117816,548
118036,545
118269,579
118509,565
118744,578
118963,579
119240,591
119412,567
119629,571
119842,566
120070,576
120273,568
120497,591
120713,613
120915,598
121123,601
121334,613
121536,610
121742,603
121947,609
122161,607
122357,608
122555,599
122767,607
123003,607
123182,608
123388,615
123589,616
123800,611
123998,614
124193,621
124390,622
124654,632
124822,627
125021,642
125225,642
125436,647
125634,656
125865,658
126059,650
126272,660
126487,640
126679,651
126856,650
127030,646
127228,670
127421,677
127596,681
127637,679
127774,692
127933,706
128108,715
128270,704
128423,722
128585,726
128750,644
128921,535
129097,537
129274,552
129445,551
129629,531
129806,515
130011,512
130233,499
130409,521
130640,518
130875,487
131113,493
131351,494
131624,479
131906,456
132208,461
132546,462
132876,460
133239,449
133603,506
133984,428
134389,436
134800,415
135302,404
135803,382
136372,409
136806,375
137525,395
137819,395
138451,406
138869,368
139405,432
139971,358
140518,342
141075,349
141618,359
142167,368
142777,375
143210,385
143799,401
144302,401
144834,375
145399,391
146029,402
146433,410
147048,421
147509,423
148034,471
148582,428
149190,433
149636,441
