"time","temperature","bin.start","bin.end","index.bin","n.points","n.NA","n.imputed","n.outliers","sd.temperature"
2020-07-01 00:02:30,31.463,2020-07-01 00:00:00,2020-07-01 00:05:00,1,5,0,0,0,0.419831186311832
2020-07-01 00:07:30,31.25556,2020-07-01 00:05:00,2020-07-01 00:10:00,2,5,0,0,0,0.417517344549899
2020-07-01 00:12:30,31.10612,2020-07-01 00:10:00,2020-07-01 00:15:00,3,5,0,0,0,0.0820709875656427
2020-07-01 00:17:30,31.43966,2020-07-01 00:15:00,2020-07-01 00:20:00,4,5,0,0,0,0.179900703167053
2020-07-01 00:22:30,31.25136,2020-07-01 00:20:00,2020-07-01 00:25:00,5,5,0,0,0,0.242439441923133
2020-07-01 00:27:30,31.0068,2020-07-01 00:25:00,2020-07-01 00:30:00,6,5,0,0,0,0.170198296113681
2020-07-01 00:32:30,30.89406,2020-07-01 00:30:00,2020-07-01 00:35:00,7,5,0,0,0,0.154906755824271
2020-07-01 00:37:30,31.12064,2020-07-01 00:35:00,2020-07-01 00:40:00,8,5,0,0,0,0.297278746297142
2020-07-01 00:42:30,31.03758,2020-07-01 00:40:00,2020-07-01 00:45:00,9,5,0,0,0,0.0555801403380734
2020-07-01 00:47:30,31.13818,2020-07-01 00:45:00,2020-07-01 00:50:00,10,5,0,0,0,0.19267246040885
2020-07-01 00:52:30,31.0362,2020-07-01 00:50:00,2020-07-01 00:55:00,11,5,0,0,0,0.143428902247769
2020-07-01 00:57:30,30.80612,2020-07-01 00:55:00,2020-07-01 01:00:00,12,5,0,0,0,0.148836947697808
2020-07-01 01:02:30,30.92936,2020-07-01 01:00:00,2020-07-01 01:05:00,13,5,0,0,0,0.189480297128752
2020-07-01 01:07:30,31.14358,2020-07-01 01:05:00,2020-07-01 01:10:00,14,5,0,0,0,0.0761664099193344
2020-07-01 01:12:30,31.26872,2020-07-01 01:10:00,2020-07-01 01:15:00,15,5,0,0,0,0.191285420249427
