"generation","sample.size","beta11","beta12.5","beta14"
1,9,0.177777777777778,0.123666666666667,0.0781111111111111
2,9,0.154666666666667,0.0974444444444444,0.0695555555555556
3,9,0.150555555555556,0.0984444444444444,0.071
4,9,0.152888888888889,0.0911111111111111,0.0655555555555556
5,9,0.147222222222222,0.0952222222222222,0.0691111111111111
6,9,0.135777777777778,0.0947777777777778,0.0636666666666667
7,9,0.162444444444444,0.0983333333333333,0.0706666666666667
8,9,0.158666666666667,0.103111111111111,0.0753333333333333
9,9,0.152,0.0981111111111111,0.0706666666666667
10,9,0.161888888888889,0.104,0.0638888888888889
11,9,0.149222222222222,0.096,0.0641111111111111
12,9,0.168111111111111,0.11,0.0811111111111111
13,9,0.152888888888889,0.0926666666666667,0.0641111111111111
14,9,0.149,0.103777777777778,0.0771111111111111
15,9,0.158555555555556,0.0974444444444444,0.0655555555555556
16,9,0.152222222222222,0.108777777777778,0.0673333333333333
17,9,0.143111111111111,0.100777777777778,0.0627777777777778
18,9,0.144222222222222,0.0961111111111111,0.0651111111111111
19,9,0.165,0.103888888888889,0.0736666666666667
20,9,0.152777777777778,0.0995555555555555,0.0733333333333333
21,9,0.145111111111111,0.0998888888888889,0.0691111111111111
22,9,0.177,0.117111111111111,0.0813333333333333
23,9,0.149555555555556,0.097,0.0647777777777778
24,9,0.143444444444444,0.0884444444444445,0.0655555555555556
25,9,0.150888888888889,0.104111111111111,0.0736666666666667
26,9,0.128333333333333,0.102333333333333,0.0641111111111111
27,9,0.161111111111111,0.117555555555556,0.0777777777777778
28,9,0.153333333333333,0.103,0.0671111111111111
29,9,0.160444444444444,0.106111111111111,0.0722222222222222
30,9,0.143,0.0966666666666667,0.0718888888888889
31,9,0.163888888888889,0.107555555555556,0.0807777777777778
32,9,0.147888888888889,0.0983333333333333,0.0762222222222222
33,9,0.154,0.0977777777777778,0.0736666666666667
34,9,0.155333333333333,0.105222222222222,0.0756666666666667
35,9,0.156333333333333,0.103111111111111,0.0756666666666667
36,9,0.157444444444444,0.0981111111111111,0.0647777777777778
37,9,0.164222222222222,0.112222222222222,0.0727777777777778
38,9,0.146444444444444,0.102,0.0735555555555556
39,9,0.165444444444444,0.114222222222222,0.0736666666666667
40,9,0.159666666666667,0.111111111111111,0.0717777777777778
41,9,0.162444444444444,0.103,0.0761111111111111
42,9,0.152555555555556,0.103333333333333,0.0714444444444444
43,9,0.157,0.109666666666667,0.0772222222222222
44,9,0.158666666666667,0.104,0.0721111111111111
45,9,0.152444444444444,0.103111111111111,0.0716666666666667
46,9,0.15,0.107,0.07
47,9,0.167,0.100777777777778,0.0765555555555556
48,9,0.152111111111111,0.107666666666667,0.0723333333333333
49,9,0.145,0.0992222222222222,0.0648888888888889
50,9,0.156333333333333,0.112333333333333,0.0776666666666667
51,9,0.162444444444444,0.108444444444444,0.0778888888888889
52,9,0.152777777777778,0.104222222222222,0.0641111111111111
53,9,0.159222222222222,0.0995555555555555,0.0701111111111111
54,9,0.152888888888889,0.105333333333333,0.069
55,9,0.155555555555556,0.108,0.0734444444444445
56,9,0.155888888888889,0.103111111111111,0.07
57,9,0.162333333333333,0.0981111111111111,0.0748888888888889
58,9,0.161222222222222,0.110555555555556,0.0772222222222222
59,9,0.175666666666667,0.110333333333333,0.0824444444444444
60,9,0.158222222222222,0.108222222222222,0.0756666666666667
61,9,0.156444444444444,0.0954444444444444,0.0756666666666667
62,9,0.147333333333333,0.0933333333333333,0.0654444444444444
63,9,0.157555555555556,0.104666666666667,0.0735555555555556
64,9,0.151222222222222,0.102555555555556,0.0711111111111111
65,9,0.142777777777778,0.0842222222222222,0.0653333333333333
66,9,0.141555555555556,0.0921111111111111,0.0644444444444444
