"lambda3","lambda4","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
5.2,5.8,0.135543850761478,3.13987039370866,0.0677450611049673,1.83987933956634,1.96225658210751,1.85730704566997,1.9796915094125,1.85772331382639,1.98010778155981
4.6,6.6,0.412195007805298,3.10191300006854,0.213539918736598,1.5944203084601,1.97270504613557,1.61079665847993,1.98910402518261,1.61118802563201,1.989495404842
4.4,6.8,0.476892208775988,3.07246233975811,0.243266133641412,1.48677708669144,1.91838267643782,1.5023399482915,1.9339713475296,1.50271192460267,1.93434333810595
4.4,7.2,0.551952292430191,3.12572574239165,0.280080386839897,1.48681568533248,1.99602278277115,1.5030044735987,2.0122428961656,1.50339151488971,2.01262995477339
4.2,7.4,0.600541153907592,3.07145493867609,0.305416839486552,1.36914497948897,1.9150075963859,1.38431901784807,1.93021519549092,1.3846818474354,1.93057804363088
4.2,7.8,0.662499078060827,3.12500555324578,0.334216528718701,1.35663199117907,1.97152086931238,1.37224971788387,1.98717745956962,1.3726232573121,1.98755102048571
4,8.2,0.719263320273149,3.08118098192724,0.361041216171679,1.22764466829951,1.89127674226272,1.24227591004651,1.90595046879605,1.24262594943807,1.90630053167972
4,8.6,0.76688018197262,3.11554702253538,0.388865976399857,1.20697653519108,1.92848600159551,1.2218915730389,1.9434484774991,1.22224849821908,1.94380542891493
3.8,9.4,0.838616471479138,3.08094294679983,0.421527915992301,1.05660698137684,1.84777286542653,1.07055566557385,1.86177557382205,1.07088964539317,1.86210958352739
3.8,10.2,0.904065226976443,3.13586458965942,0.451362141969541,1.0085820393909,1.88605205711009,1.02281184836658,1.90034486449229,1.02315274300456,1.90068579399302
3.6,11.4,0.950891914245702,3.08247818043062,0.473677477458817,0.849470367564816,1.77781387397761,0.86255542203964,1.79096955766457,0.86286914603054,1.79128332075825
3.6,11.8,0.970556962715354,3.094509605782,0.483902864246609,0.828129063829006,1.78600441421278,0.841270777368442,1.79922070765457,0.841585944707683,1.79953591629107
3.6,12.6,1.00834485744978,3.13343392230687,0.500998111781953,0.787160702629586,1.79915914843383,0.800391911156412,1.81247278622828,0.800709395796277,1.81279031652787
3.4,15.8,1.05446604897174,3.08918605676997,0.521300516252459,0.588462020180404,1.67710025464193,0.600474195998387,1.68921562437038,0.600763051372287,1.68950453698152
3.4,17.8,1.08632371720894,3.11844779909532,0.534276469706494,0.527743589609245,1.68231056075997,0.539776496008319,1.69446356973324,0.540066239520272,1.69475337991934
3.4,18.8,1.09511217970619,3.1220474782595,0.543407107885743,0.50150501836165,1.68382279600477,0.513540450886988,1.69598672936324,0.51383045021691,1.6962768000608
